,context,duration,end_time,request_no,simulation_name,start_time,status
54,USER,0,2018-06-17 20:05:23.095,55,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.095,START
55,USER,0,2018-06-17 20:05:23.095,56,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.095,START
56,USER,0,2018-06-17 20:05:23.096,57,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.096,START
57,USER,0,2018-06-17 20:05:23.096,58,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.096,START
58,USER,0,2018-06-17 20:05:23.097,59,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.097,START
59,USER,0,2018-06-17 20:05:23.097,60,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.097,START
60,USER,0,2018-06-17 20:05:23.098,61,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.098,START
61,USER,0,2018-06-17 20:05:23.098,62,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.098,START
62,USER,0,2018-06-17 20:05:23.099,63,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.099,START
63,USER,0,2018-06-17 20:05:23.099,64,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.099,START
64,USER,0,2018-06-17 20:05:23.100,65,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.100,START
65,USER,0,2018-06-17 20:05:23.100,66,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.100,START
66,USER,0,2018-06-17 20:05:23.101,67,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.101,START
67,USER,0,2018-06-17 20:05:23.101,68,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.101,START
68,USER,0,2018-06-17 20:05:23.102,69,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.102,START
69,USER,0,2018-06-17 20:05:23.102,70,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.102,START
70,USER,0,2018-06-17 20:05:23.103,71,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.103,START
71,USER,0,2018-06-17 20:05:23.103,72,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.103,START
72,USER,0,2018-06-17 20:05:23.104,73,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.104,START
73,USER,0,2018-06-17 20:05:23.104,74,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.104,START
74,USER,0,2018-06-17 20:05:23.105,75,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.105,START
75,USER,0,2018-06-17 20:05:23.105,76,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.105,START
76,USER,0,2018-06-17 20:05:23.106,77,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.106,START
77,USER,0,2018-06-17 20:05:23.106,78,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.106,START
78,USER,0,2018-06-17 20:05:23.107,79,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.107,START
79,USER,0,2018-06-17 20:05:23.107,80,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.107,START
80,USER,0,2018-06-17 20:05:23.108,81,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.108,START
81,USER,0,2018-06-17 20:05:23.108,82,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.108,START
82,USER,0,2018-06-17 20:05:23.109,83,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.109,START
83,USER,0,2018-06-17 20:05:23.109,84,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.109,START
84,USER,0,2018-06-17 20:05:23.109,85,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.109,START
85,USER,0,2018-06-17 20:05:23.110,86,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.110,START
86,USER,0,2018-06-17 20:05:23.111,87,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.111,START
87,USER,0,2018-06-17 20:05:23.111,88,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.111,START
88,USER,0,2018-06-17 20:05:23.111,89,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.111,START
89,USER,0,2018-06-17 20:05:23.112,90,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.112,START
90,USER,0,2018-06-17 20:05:23.112,91,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.112,START
91,USER,0,2018-06-17 20:05:23.113,92,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.113,START
92,USER,0,2018-06-17 20:05:23.113,93,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.113,START
93,USER,0,2018-06-17 20:05:23.114,94,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.114,START
94,USER,0,2018-06-17 20:05:23.138,95,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.138,START
95,USER,0,2018-06-17 20:05:23.139,96,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.139,START
96,USER,0,2018-06-17 20:05:23.139,97,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.139,START
97,USER,0,2018-06-17 20:05:23.140,98,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.140,START
98,USER,0,2018-06-17 20:05:23.140,99,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.140,START
99,USER,0,2018-06-17 20:05:23.141,100,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.141,START
100,USER,0,2018-06-17 20:05:23.142,101,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.142,START
101,USER,0,2018-06-17 20:05:23.142,102,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.142,START
102,USER,0,2018-06-17 20:05:23.143,103,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.143,START
103,USER,0,2018-06-17 20:05:23.143,104,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.143,START
104,USER,0,2018-06-17 20:05:23.143,105,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.143,START
105,USER,0,2018-06-17 20:05:23.144,106,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.144,START
106,USER,0,2018-06-17 20:05:23.145,107,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.145,START
107,USER,0,2018-06-17 20:05:23.145,108,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.145,START
108,USER,0,2018-06-17 20:05:23.146,109,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.146,START
109,USER,0,2018-06-17 20:05:23.146,110,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.146,START
110,USER,0,2018-06-17 20:05:23.147,111,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.147,START
111,USER,0,2018-06-17 20:05:23.147,112,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.147,START
112,USER,0,2018-06-17 20:05:23.148,113,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.148,START
113,USER,0,2018-06-17 20:05:23.149,114,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.149,START
114,USER,0,2018-06-17 20:05:23.149,115,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.149,START
115,USER,0,2018-06-17 20:05:23.150,116,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.150,START
116,USER,0,2018-06-17 20:05:23.151,117,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.151,START
117,USER,0,2018-06-17 20:05:23.151,118,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.151,START
118,USER,0,2018-06-17 20:05:23.152,119,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.152,START
119,USER,0,2018-06-17 20:05:23.152,120,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.152,START
120,USER,0,2018-06-17 20:05:23.153,121,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.153,START
121,USER,0,2018-06-17 20:05:23.153,122,Slim Categorization Coldstart-scenario,2018-06-17 20:05:23.153,START
